Tmix,s	Tmix,days	Voltage,V	Power,W	Heat,J	Power/SCM,W/g	Heat/SCM,J/g
-5	-5.787037037037037e-05	0.0006677	0.008251	0.2468	0.0001085447589134876	0.003246739364907133
55	0.0006365740740740741	0.0006637	0.008203	0.7404	0.0001079133023109125	0.009740218094721398
115	0.001331018518518518	0.0006533	0.008079000000000001	1.229	0.0001062820394209268	0.01616792009510076
175	0.002025462962962963	0.0006394	0.007915	1.709	0.0001041245626954617	0.02248248612085207
235	0.002719907407407407	0.0006212	0.007698999999999999	2.177	0.0001012830079838736	0.0286391879959596
295	0.003414351851851852	0.0006007	0.007455	2.632	9.807310358745005e-05	0.03462487037453636
355	0.004108796296296296	0.05393999999999999	0.6408	22.08	0.008429945644378002	0.2904700371845603
415	0.004803240740740741	0.07	0.8315	66.25	0.01093867010502545	0.8715416650125508
475	0.005497685185185185	0.07	0.8315	116.1	0.01093867010502545	1.527335657478598
535	0.00619212962962963	0.07	0.8315	166.0	0.01093867010502545	2.183787417238995
595	0.006886574074074074	0.07	0.8315	215.9	0.01093867010502545	2.840239176999392
655	0.007581018518518518	0.07	0.8315	265.8	0.01093867010502545	3.496690936759789
715	0.008275462962962964	0.07	0.8315	315.7	0.01093867010502545	4.153142696520185
775	0.008969907407407407	0.07	0.8315	365.6	0.01093867010502545	4.809594456280583
835	0.009664351851851851	0.07	0.8315	415.5	0.01093867010502545	5.466046216040979
895	0.0103587962962963	0.069	0.8197	465.0	0.01078343702355906	6.117235837446583
955	0.01105324074074074	0.0662	0.7864	513.2	0.01034536400552257	6.751323509199112
1015	0.01174768518518519	0.06345	0.7538	559.4	0.009916499729606955	7.359100489177674
1075	0.01244212962962963	0.06086	0.723	603.7	0.009511315076287913	7.941882311970973
1135	0.01313657407407407	0.05836	0.6933	646.2	0.009120601303444551	8.500984512167705
1195	0.01383101851851852	0.05602000000000001	0.6656	687.0	0.008756198222375151	9.037722624356565
1255	0.01452546296296296	0.05377999999999999	0.639	726.1	0.008406266021781433	9.552096648537557
1315	0.01521990740740741	0.05173	0.6146	763.7	0.008085275582139076	10.04673765388808
1375	0.01591435185185185	0.04975	0.5911	799.9	0.007776124953795	10.52296117499682
1435	0.0166087962962963	0.04792	0.5693	834.7	0.007489338413458796	10.98076721186379
1495	0.01730324074074074	0.04618	0.5487	868.3	0.007218338288186968	11.42278683366638
1555	0.01799768518518519	0.04457	0.5296	900.6	0.006967071181745613	11.8477045058159
1615	0.01869212962962963	0.04309	0.512	931.9	0.006735537094134733	12.25946683207843
1675	0.01938657407407407	0.04171	0.4956	962.1	0.006519789421588229	12.65675827786529
1735	0.02008101851851852	0.04039	0.48	991.4	0.006314566025751311	13.04220991235385
1795	0.02077546296296296	0.03916	0.4654	1020.0	0.006122497975801376	13.41845280472154
1855	0.02146990740740741	0.03803	0.452	1047.0	0.005946216340915819	13.77364714367005
1915	0.02216435185185185	0.03696	0.4392	1074.0	0.00577782791356245	14.12884148261856
1975	0.0228587962962963	0.03598	0.4276	1100.0	0.00562522590127346	14.47088047568009
2035	0.02355324074074074	0.03505	0.4165	1125.0	0.005479201561927961	14.79976412285464
2095	0.02424768518518518	0.03416	0.406	1150.0	0.005341070430114651	15.12864777002918
2155	0.02494212962962963	0.03335	0.3963	1174.0	0.005213463575010927	15.44437607131675
2215	0.02563657407407408	0.03257	0.3871	1198.0	0.005092434392850693	15.76010437260432
2275	0.02633101851851852	0.03185	0.3786	1221.0	0.004980613952811347	16.0626773280049
2335	0.02702546296296296	0.03119	0.3707	1243.0	0.004876686720304189	16.3520949375185
2395	0.02771990740740741	0.03058	0.3634	1265.0	0.004780652695329222	16.6415125470321
2455	0.02841435185185185	0.03001	0.3566	1287.0	0.004691196343297745	16.9309301565457
2515	0.0291087962962963	0.02949	0.3505	1308.0	0.004610948733387155	17.20719242017232
2575	0.02980324074074074	0.02901	0.3448	1329.0	0.004535963261831359	17.48345468379894
2635	0.03049768518518519	0.02858	0.3397	1349.0	0.004468870997807751	17.74656160153858
2695	0.03119212962962963	0.02818	0.3349	1369.0	0.004405725337550238	18.00966851927822
2755	0.03188657407407407	0.02783	0.3308	1389.0	0.004351788419413612	18.27277543701786
2815	0.03258101851851852	0.02751	0.3269	1409.0	0.004300482570454383	18.5358823547575
2875	0.03327546296296297	0.02722	0.3236	1429.0	0.004257069929027343	18.79898927249713
2935	0.03396990740740741	0.02697	0.3206	1448.0	0.004217603891366397	19.04894084434979
2995	0.03466435185185185	0.02676	0.3181	1467.0	0.004184715526648942	19.29889241620245
3055	0.0353587962962963	0.02658	0.316	1486.0	0.00415708930028628	19.5488439880551
3115	0.03605324074074074	0.02642	0.3141	1505.0	0.004132094143101015	19.79879555990776
3175	0.03674768518518518	0.02628	0.3124	1524.0	0.004109730055093145	20.04874713176041
3235	0.03744212962962963	0.02616	0.3109	1543.0	0.004089997036262672	20.29869870361307
3295	0.03813657407407407	0.02604	0.3095	1561.0	0.004071579552020897	20.53549492957875
3355	0.03883101851851852	0.02592	0.3081	1580.0	0.004053162067779123	20.7854465014314
3415	0.03952546296296296	0.0258	0.3067	1598.0	0.004034744583537348	21.02224272739707
3475	0.04021990740740741	0.02569	0.3053	1617.0	0.004016327099295574	21.27219429924973
3535	0.04091435185185185	0.02556	0.3038	1635.0	0.003996594080465101	21.50899052521541
3595	0.0416087962962963	0.02543	0.3023	1653.0	0.003976861061634628	21.74578675118108
3655	0.04230324074074074	0.02528	0.3006	1671.0	0.003954496973626758	21.98258297714675
3715	0.04299768518518519	0.02512	0.2987	1689.0	0.003929501816441494	22.21937920311243
